threshold,area,perim,q2,arg2,q3,arg3,q4,arg4,q5,arg5,q6,arg6,q7,arg7,q8,arg8,lambda,velocity,pattern,timestep,vel_norm,isoperi_ratio,anisotro_ind,t_norm
15.0,60185.93043590683,2704.278291462827,0.01322788815510912,1.659159077955221,0.0111637746411747,1.94415079193292,0.005345758213273106,3.138342391977557,0.005443394332042162,-0.9816363376962907,0.01511957487362324,-2.756802074522757,0.005382982922835659,1.616314413061393,0.009052168016314088,0.2243077652677679,2.0,69.0,1.0,875.0,10.0,279.6748803609739,0.9869448045106669,24.65784445214519
25.0,56576.35894841295,2618.355976493273,0.009982325428350695,1.603039314339623,0.01118325793710304,2.063297996226258,0.007066352805014266,-3.116311883888716,0.003869894922037953,-1.004325371978942,0.01445176337141623,-2.725339281712241,0.009249370785258677,1.368869211162823,0.00901593693132204,0.09518330084323716,2.0,69.0,1.0,875.0,10.0,271.5289673900457,0.9901163365169613,24.65784445214519
15.0,60192.0523478838,2704.957264253553,0.006226890382099191,1.725183254576872,0.01236542024644901,0.763060739148357,0.004279389778830771,3.025706686508556,0.006720944505968767,-2.26243983036961,0.01380380209399481,3.109511451168412,0.006710292048852416,1.966792201838499,0.0119244772166424,-0.01678412307343738,2.0,69.0,1.0,876.0,10.0,279.6331194722765,0.9938116438333956,24.686024845804788
25.0,56553.33929138335,2617.836735177564,0.008281200220206729,1.458960514255195,0.01147939801793119,0.8432772681597953,0.002700644654464253,3.018585179063808,0.005659295742770081,-2.039059496414096,0.01303400781939594,3.10342243466189,0.006063936620623802,1.732262016462648,0.009002860389522862,0.1727164886838718,2.0,69.0,1.0,876.0,10.0,271.472323489616,0.9917868148107908,24.686024845804788
15.0,60186.49932617001,2704.666080194749,0.01529856153726527,-1.614454779890337,0.01083225739682286,1.260559660019346,0.004682406949570265,-2.923788768275534,0.007644644929917921,-1.280181452865091,0.01168347669310094,3.060166271815905,0.006436315779130748,1.568881779922746,0.01431714152185593,-0.06705057456386097,2.0,69.0,1.0,877.0,10.0,279.63742439475993,0.9849319578330716,24.71420523946438
25.0,56584.69861394571,2618.582948705988,0.01311123869679916,-1.563899084707985,0.01208949260701159,1.178527406380893,0.00496737906490592,-2.959278219434072,0.006003838056628166,-1.163672657046922,0.01265804126716159,2.829302623375585,0.007458932419116483,1.771698409149606,0.01352448077915728,-0.1922692138208826,2.0,69.0,1.0,877.0,10.0,271.5454533285037,0.987058441170128,24.71420523946438
15.0,60149.37187169312,2703.672551463125,0.001449634367399929,2.877097419335415,0.01181924835620675,2.287752844786567,0.005791262476941098,-2.984167517615203,0.00920130528937169,-0.6292440657707875,0.01485561807092661,-3.05845537994298,0.01093544106426512,1.401985787900426,0.003198814043116496,-0.4020059753443719,2.0,69.0,1.0,878.0,10.0,279.56761951500533,0.9985524640304895,24.742385633123977
25.0,56531.30650226787,2617.068406286403,0.002620352684418232,-1.395806923754687,0.01024172170495013,2.36188331770444,0.00552757216870277,-3.080052639110826,0.007874919466334692,-0.7329067813235265,0.01228731462368622,-2.960143915882529,0.00786474463680587,1.591759333656495,0.00879080904244448,-0.05690024242270279,2.0,69.0,1.0,878.0,10.0,271.446228579662,0.9973864956188028,24.742385633123977
15.0,60167.62237906302,2703.93601248943,0.01576795037829843,1.613899224596923,0.0108644417836689,1.308826179644014,0.005439270853591848,-3.133871837205278,0.005860665059414888,-2.044443313943923,0.0163386749574068,-2.911197601781722,0.004935735093207486,1.54552208120775,0.01112999148709479,-0.0116119257618667,2.0,69.0,1.0,879.0,10.0,279.62519760369975,0.9844768183792115,24.77056602678357
25.0,56560.16838435414,2617.946851949407,0.01460343733439452,1.540339539316696,0.01178062047162159,1.519854526314571,0.005931140940809152,3.058861313800562,0.003766900126519624,-1.730726967093016,0.01649546034716695,-2.903708200070298,0.003373501402712909,1.618468256737675,0.01207007717750945,0.2137771111419485,2.0,69.0,1.0,879.0,10.0,271.4936849841328,0.9856067535383467,24.77056602678357
