pattern,lambda,velocities,h_mins,h_max,dh,time
sine,1,0.0,0.8324138103047143,1.0358707237837168,0.20345691347900252,1.4935608639585087
sine,1,0.0,0.8113363487614292,1.03683649116521,0.2255001424037807,1.5217412576181033
sine,1,0.0,0.7849536270978642,1.0378216646343872,0.252868037536523,1.5499216512776979
sine,1,0.0,0.7504192970284744,1.038834633212178,0.28841533618370363,1.5781020449372922
sine,1,0.0,0.702176052398737,1.0398632523478417,0.3376871999491047,1.6062824385968868
sine,1,0.0,0.6268985090995464,1.0409148342418506,0.41401632514230424,1.6344628322564814
sine,1,0.0,0.4733509542140475,1.0419817720861932,0.5686308178721458,1.6626432259160757
sine,1,0.0,0.008928880239619028,1.043069157888874,1.034140277649255,1.6908236195756703
sine,1,0.0,0.011104245701916274,1.2210517060601955,1.2099474603582792,1.7190040132352649
sine,1,0.0,0.012088410608553634,1.4443534391339412,1.4322650285253875,1.7471844068948594
sine,1,0.0,0.012937195265964539,1.6051007581838856,1.5921635629179212,1.7753648005544538
sine,1,0.0,0.012631490863514847,1.7331008928960572,1.7204694020325424,1.8035451942140484
sine,1,0.0,0.012407432386235956,1.8393550845679723,1.8269476521817363,1.831725587873643
sine,1,0.0,0.011860725460307689,1.9319899401814646,1.920129214721157,1.8599059815332373
sine,1,0.0,0.013059141859267537,2.012466553092178,1.9994074112329105,1.8880863751928318
sine,1,0.0,0.012788499663378243,2.0869576892847825,2.0741691896214043,1.9162667688524264
sine,1,0.0,0.010993712809221859,2.1530307345818813,2.1420370217726594,1.9444471625120208
sine,1,0.0,0.01310259060173372,2.2166879241646344,2.2035853335629008,1.9726275561716153
sine,1,0.0,0.01335426930739283,2.272605832624765,2.259251563317372,2.0008079498312097
sine,1,0.0,0.010382408993193983,2.3256781418163603,2.3152957328231665,2.0289883434908043
sine,1,0.0,0.01152889892531433,2.376551279071696,2.3650223801463817,2.057168737150399
sine,1,0.0,0.011305540383455482,2.4213948968558796,2.410089356472424,2.0853491308099934
sine,1,0.0,0.010248458254018742,2.4648166769080126,2.454568218653994,2.113529524469588
sine,1,0.0,0.0135835924803586,2.506648638244255,2.4930650457638963,2.1417099181291825
sine,1,0.0,0.013258394778495117,2.5463348096492875,2.5330764148707923,2.169890311788777
sine,1,0.0,0.011386123984543502,2.5807660912435635,2.56937996725902,2.1980707054483712
sine,1,0.0,0.013821941604368433,2.6155542506256446,2.6017323090212763,2.226251099107966
sine,1,0.0,0.011351664844908613,2.645325800116564,2.633974135271655,2.2544314927675604
sine,1,0.0,0.013401314063267427,2.6782609077746877,2.6648595937114203,2.282611886427155
sine,1,0.0,0.014248539432108905,2.70508974768382,2.690841208251711,2.3107922800867495
sine,1,0.0,0.011624691126453401,2.7307153898314773,2.719090698705024,2.338972673746344
sine,1,0.0,0.012783273614516548,2.757013563471945,2.7442302898574282,2.3671530674059387
sine,1,0.0,0.013470453873731233,2.781740312313635,2.7682698584399037,2.395333461065533
sine,1,0.0,0.013741746807565633,2.8035598689482293,2.7898181221406637,2.4235138547251274
sine,1,0.0,0.013756356084351617,2.826214876673737,2.8124585205893853,2.451694248384722
sine,1,0.0,0.01363476653346191,2.8466217918023164,2.8329870252688547,2.4798746420443165
sine,1,0.0,0.013328296455462681,2.8652506792202783,2.8519223827648155,2.508055035703911
sine,1,0.0,0.012327891810033268,2.8830077608132525,2.870679869003219,2.5362354293635057
sine,1,0.0,0.014865140261506407,2.901146552672869,2.8862814124113627,2.5644158230231
sine,1,0.0,0.014686457967822381,2.919003889141825,2.9043174311740025,2.5925962166826944
sine,1,0.0,0.014164402759787604,2.9344714016156006,2.920306998855813,2.620776610342289
sine,1,0.0,0.015189678727343149,2.9495218145664097,2.9343321358390666,2.6489570040018835
sine,1,0.0,0.014848086347766664,2.9658873865314463,2.95103930018368,2.677137397661478
sine,1,0.0,0.013954526766021137,2.9783612902826277,2.9644067635166067,2.7053177913210726
sine,1,0.0,0.015178215766404036,2.99297873021848,2.977800514452076,2.733498184980667
sine,1,0.0,0.014334328595726921,3.0045936501693777,2.990259321573651,2.7616785786402613
sine,1,0.0,0.015364181235096756,3.01933345269213,3.0039692714570334,2.789858972299856
sine,1,0.0,0.014143032632154096,3.030712762636185,3.016569730004031,2.8180393659594505
sine,1,0.0,0.01538906300784164,3.043039565604101,3.0276505025962597,2.846219759619045
sine,1,0.0,0.01574150952807012,3.054126314860468,3.038384805332398,2.8744001532786396
sine,1,0.0,0.014895113288773519,3.0635005634456007,3.048605450156827,2.902580546938234
sine,1,0.0,0.015564532778821338,3.074460697779099,3.0588961650002777,2.9307609405978288
sine,1,0.0,0.01587385236820766,3.0820709148234693,3.0661970624552617,2.958941334257423
sine,1,0.0,0.014679124758864454,3.089298064872734,3.07461894011387,2.9871217279170175
sine,1,0.0,0.01548611137409924,3.0974768821842256,3.081990770810126,3.015302121576612
sine,1,0.0,0.01588638017256151,3.1066313649714328,3.0907449847988713,3.0434825152362066
sine,1,0.0,0.016174430346045564,3.115047234066359,3.0988728037203135,3.071662908895801
sine,1,0.0,0.016370398915511498,3.127506868949841,3.1111364700343294,3.0998433025553958
sine,1,0.0,0.015380045766508922,3.139170718122548,3.1237906723560394,3.12802369621499
sine,1,0.0,0.015599336084498382,3.356133357016525,3.3405340209320267,3.1562040898745845
sine,1,0.0,0.015947328338567546,3.5241830795887887,3.508235751250221,3.184384483534179
sine,1,0.0,0.01616289068398306,3.644404050730571,3.628241160046588,3.2125648771937736
sine,1,0.0,0.01628091745902082,3.7457855241442113,3.7295046066851905,3.240745270853368
sine,1,0.0,0.016288258582092062,3.8335558516776254,3.8172675930955333,3.2689256645129627
sine,1,0.0,0.016103423914229115,3.910616310616845,3.8945128867026155,3.2971060581725573
sine,1,0.0,0.016127923955496993,3.97859573500581,3.962467811050313,3.3252864518321514
sine,1,0.0,0.015988321938921763,4.040004932095403,4.024016610156481,3.353466845491746
sine,1,0.0,0.015928781730444444,4.0956976031043215,4.079768821373877,3.3816472391513406
sine,1,0.0,0.016228605114348964,4.146925097400771,4.130696492286423,3.409827632810935
sine,1,0.0,0.01678963671189604,4.194205850543313,4.1774162138314175,3.4380080264705297
sine,1,0.0,0.017243620317760642,4.237898116919056,4.220654496601296,3.4661884201301243
sine,1,0.0,0.017636552250759056,4.279094950553919,4.2614583983031595,3.494368813789719
sine,1,0.0,0.017994805317775465,4.317580048245905,4.299585242928129,3.522549207449313
sine,1,0.0,0.0177691728468424,4.353846151606713,4.336076978759871,3.5507296011089076
sine,1,0.0,0.017901504561244147,4.388178978070996,4.370277473509751,3.578909994768502
sine,1,0.0,0.018343456018834078,4.42105524429064,4.402711788271806,3.6070903884280967
sine,1,0.0,0.018174175099179544,4.452706027524871,4.434531852425692,3.6352707820876913
sine,1,0.0,0.01780300477867696,4.482997202930815,4.465194198152139,3.663451175747286
sine,1,0.0,0.01707976836650347,4.5121647720426745,4.495085003676171,3.6916315694068804
sine,1,0.0,0.017002029075748822,4.540982399602846,4.523980370527098,3.7198119630664745
sine,1,0.0,0.01713122159990786,4.568978150040584,4.551846928440676,3.747992356726069
sine,1,0.0,0.017220850153987947,4.596277835998657,4.579056985844669,3.7761727503856637
