pattern,lambda,velocities,N_clusters,A_clusters,time
sine,1,0.0,11,"[[212442, 123, 236, 113, 23953, 236, 449, 213, 23953, 113, 213, 100]]",8.341396523239974
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.369576916899568
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.397757310559163
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.425937704218757
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.454118097878352
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.482298491537946
sine,1,0.0,11,"[[212458, 121, 234, 113, 23953, 234, 445, 211, 23953, 113, 211, 98]]",8.510478885197541
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.538659278857136
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.56683967251673
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.595020066176325
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.62320045983592
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.651380853495514
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.679561247155108
sine,1,0.0,11,"[[212474, 121, 232, 111, 23953, 232, 441, 209, 23953, 111, 209, 98]]",8.707741640814703
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.735922034474296
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.76410242813389
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.792282821793485
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.82046321545308
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.848643609112674
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.876824002772269
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.905004396431863
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.933184790091458
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.961365183751052
sine,1,0.0,11,"[[212490, 121, 230, 109, 23953, 230, 437, 207, 23953, 109, 207, 98]]",8.989545577410647
